,Unnamed: 0,period_id,minute,second,outcome,start_x,start_y,end_x,end_y,type_name,FullName,Position,Team,start_frameID
273,273,1,15,28,True,42.94,6.26,44.1,15.64,Pass,Team_A_Player_10,Striker,Team_A,1127977
274,274,1,15,29,True,44.0,16.12,38.32,9.72,Pass,Team_A_Player_5,Midfielder,Team_A,1128005
275,275,1,15,31,True,33.08,17.14,35.49,33.73,Pass,Team_A_Player_8,Striker,Team_A,1128055
276,276,1,15,34,True,63.21,41.55,65.2,38.9,Pass,Team_B_Player_6,Midfielder,Team_B,1128144
277,277,1,15,35,True,64.26,39.51,64.26,39.51,Ball recovery,Team_B_Player_2,Defender,Team_B,1128169
278,278,1,15,36,True,61.64,39.64,49.66,34.75,Pass,Team_B_Player_5,Striker,Team_B,1128190
279,279,1,15,38,True,49.35,34.2,55.76,10.54,Pass,Team_B_Player_2,Defender,Team_B,1128225
280,280,1,15,41,True,58.49,5.64,44.1,21.76,Pass,Team_B_Player_4,Defender,Team_B,1128295
281,281,1,15,44,True,44.1,21.76,53.76,36.45,Pass,Team_B_Player_2,Defender,Team_B,1128376
282,282,1,15,45,True,53.86,36.72,44.31,51.14,Pass,Team_B_Player_6,Midfielder,Team_B,1128395
283,283,1,15,48,True,46.94,54.88,61.11,65.01,Pass,Team_B_Player_1,Defender,Team_B,1128470
284,284,1,15,52,True,74.76,64.33,74.76,64.33,Take on,Team_B_Player_9,Striker,Team_B,1128570
285,285,1,15,54,True,80.95,63.99,101.96,58.07,Pass,Team_B_Player_9,Striker,Team_B,1128624
286,286,1,15,56,False,102.69,57.94,99.54,36.86,Pass,Team_B_Player_3,Defender,Team_B,1128675
287,287,1,15,58,True,11.97,20.6,11.97,20.6,Ball recovery,Team_A_Player_7,Midfielder,Team_A,1128730
288,288,1,15,59,True,11.97,20.6,12.7,3.6,Pass,Team_A_Player_7,Midfielder,Team_A,1128751
289,289,1,16,2,True,16.07,2.92,33.08,16.8,Pass,Team_A_Player_2,Defender,Team_A,1128820
290,290,1,16,3,True,32.34,16.8,32.34,16.8,Foul,Team_A_Player_10,Striker,Team_A,1128868
291,291,1,16,3,False,72.66,51.2,72.66,51.2,Foul,Team_B_Player_1,Defender,Team_B,1128869
292,292,1,16,18,True,33.7,11.76,27.2,23.12,Pass,Team_A_Player_2,Defender,Team_A,1129220
293,293,1,16,20,True,26.36,24.89,27.4,45.29,Pass,Team_A_Player_3,Defender,Team_A,1129276
294,294,1,16,24,True,27.4,45.15,27.93,28.49,Pass,Team_A_Player_4,Defender,Team_A,1129380
295,295,1,16,26,True,27.93,28.49,2.62,28.22,Pass,Team_A_Player_3,Defender,Team_A,1129420
296,296,1,16,31,False,4.83,28.49,51.87,26.79,Pass,Team_A_Player_0,Goalkeeper,Team_A,1129557
297,297,1,16,35,False,54.92,40.39,55.96,40.39,Pass,Team_B_Player_1,Defender,Team_B,1129645
298,298,1,16,38,True,68.78,45.9,68.78,45.9,Ball recovery,Team_B_Player_7,Midfielder,Team_B,1129739
299,299,1,16,39,False,68.78,45.9,79.9,49.5,Pass,Team_B_Player_7,Midfielder,Team_B,1129745
300,300,1,16,40,True,26.04,20.67,26.04,20.67,Interception,Team_A_Player_6,Midfielder,Team_A,1129770
301,301,1,16,41,True,15.12,22.03,15.12,22.03,Ball recovery,Team_A_Player_2,Defender,Team_A,1129819
302,302,1,16,42,True,15.12,22.03,4.83,27.2,Pass,Team_A_Player_2,Defender,Team_A,1129840
303,303,1,16,44,True,4.83,27.2,12.81,4.76,Pass,Team_A_Player_0,Goalkeeper,Team_A,1129878
304,304,1,16,50,True,27.72,4.83,36.22,2.58,Pass,Team_A_Player_7,Midfielder,Team_A,1130020
305,305,1,16,51,False,36.44,2.18,37.59,10.61,Pass,Team_A_Player_5,Midfielder,Team_A,1130045
306,306,1,16,52,True,70.46,56.71,70.46,56.71,Interception,Team_B_Player_6,Midfielder,Team_B,1130084
307,307,1,16,53,True,73.08,53.45,73.08,53.45,Ball recovery,Team_B_Player_6,Midfielder,Team_B,1130095
308,308,1,16,57,True,80.95,44.13,105.0,36.65,Miss,Team_B_Player_6,Midfielder,Team_B,1130201
309,309,1,16,58,True,-1.47,33.18,-1.47,33.18,Out,Team_A_Player_5,Midfielder,Team_A,1130220
310,310,1,16,58,False,106.47,34.82,106.47,34.82,Out,Team_B_Player_6,Midfielder,Team_B,1130220
311,311,1,17,21,True,5.78,35.84,20.58,59.02,Pass,Team_A_Player_0,Goalkeeper,Team_A,1130806
312,312,1,17,25,True,21.0,60.32,34.23,52.7,Pass,Team_A_Player_4,Defender,Team_A,1130912
313,313,1,17,29,True,38.01,44.88,48.61,23.05,Pass,Team_A_Player_9,Striker,Team_A,1130995
314,314,1,17,31,True,48.51,22.92,61.84,4.01,Pass,Team_A_Player_5,Midfielder,Team_A,1131045
315,315,1,17,36,True,59.96,5.44,68.35,26.66,Pass,Team_A_Player_8,Striker,Team_A,1131178
316,316,1,17,39,True,71.71,24.34,84.42,11.83,Pass,Team_A_Player_9,Striker,Team_A,1131250
317,317,1,17,41,False,83.16,10.54,83.16,10.54,Take on,Team_A_Player_5,Midfielder,Team_A,1131319
318,318,1,17,42,False,21.84,57.46,21.84,57.46,Tackle,Team_B_Player_7,Midfielder,Team_B,1131320
319,319,1,17,43,True,84.32,11.36,76.55,15.5,Pass,Team_A_Player_5,Midfielder,Team_A,1131350
